ID#Name
7#False King Demon's Soul
8#Iron Ring of Keys
9#Copper Key
10#Prison of Hope, 1F Key
11#Prison of Hope, 2F Key
12#Prison of Hope, 3F Key
13#Prison of Hope, 4F Key
14#Prison of Hope, Warden's Key
15#Lead Demon's Soul
16#Iron Demon's Soul
17#Silver Demon's Soul
18#Swollen Demon's Soul
19#Hero Demon's Soul
20#Storm Demon's Soul
21#Doll Demon's Soul
22#Mixed Demon's Soul
23#Yellow Demon's Soul
24#Wriggling Demon's Soul
25#Eroded Demon's Soul
26#Pureblood Demon's Soul
27#Hard Demon's Soul
28#Red Hot Demon's Soul
29#Dragon Demon's Soul
30#Maiden in Black Demon's Soul
31#Grey Demon's Soul
32#Small Flame-Scale Demon's Soul
33#Large Flame-Scale Demon's Soul
34#Colorless Demon's Soul
35#Mausoleum Key
36#Bloody Iron Key
37#Crest of Vinland
38#Jade Hair Ornament
39#Prison of Hope, 1F Cell Key
40#Prison of Hope, 2F W. Cell Key
41#Prison of Hope, 3F Cell Key
42#Prison of Hope, 4F Cell Key
43#Prison of Hope, 2F E. Cell Key
44#Prison of Hope, Special Key
45#Beast Demon's Soul
99#Augite of Souls
1000#Crescent Moon Grass
1001#Half Moon Grass
1002#Late Moon Grass
1003#Full Moon Grass
1004#New Moon Grass
1005#Fresh Spice
1006#Old Spice
1007#Royal Lotus
1008#Widow's Lotus
1009#Dark Moon Grass
1010#Ed's Grindstone
1011#Throwing Knife
1012#Kunai
1013#Firebomb
1014#Soul Remains
1015#Turpentine
1016#Black Turpentine
1017#Sticky White Stuff
1018#Brass Telescope
1020#Shard of Archstone
1021#Stone of Ephemeral Eyes
1022#Augite of Guidance
1023#Soldier's Lotus
1024#Secret Throwing Dagger
1025#Unknown Soldier's Soul
1026#Unknown Hero's Soul
1027#Renowned Soldier's Soul
1028#Renowned Hero's Soul
1029#Storied Soldier's Soul
1030#Storied Hero's Soul
1031#Legendary Soldier's Soul
1032#Legendary Hero's Soul
1033#Nexial Binding
2000#Shard of Hardstone
2001#Large Hardstone Shard
2002#Chunk of Hardstone
2003#Pure Hardstone
2004#Shard of Sharpstone
2005#Large Sharpstone Shard
2006#Chunk of Sharpstone
2007#Pure Sharpstone
2008#Black steel wire fragment
2009#Big piece of black steel wire
2010#Block of black steel wires
2011# pure black steel wire
2012#Shard of Clearstone
2013#Chunk of Clearstone
2014#Pure Clearstone
2015#Shard of Greystone
2016#Chunk of Greystone
2017#Pure Greystone
2018#Gold Steel Wire Fragment
2019#Lump of gold steel wire
2020# pure gold steel wire
2021#Shard of Bladestone
2022#Chunk of Bladestone
2023#Pure Bladestone
2024#Shard of Spiderstone
2025#Chunk of Spiderstone
2026#Pure Spiderstone
2027#Shard of Mercurystone
2028#Chunk of Mercurystone
2029#Pure Mercurystone
2030#Shard of Dragonstone
2031#Chunk of Dragonstone
2032#Pure Dragonstone
2033#Shard of Suckerstone
2034#Chunk of Suckerstone
2035#Pure Suckerstone
2036#Shard of Marrowstone
2037#Chunk of Marrowstone
2038#Pure Marrowstone
2039#Shard of Moonlightstone
2040#Chunk of Moonlightstone
2041#Pure Moonlightstone
2042#Shard of Darkmoonstone
2043#Chunk of Darkmoonstone
2044#Pure Darkmoonstone
2045#Shard of Faintstone
2046#Chunk of Faintstone
2047#Pure Faintstone
2048#Shard of Cloudstone
2049#Chunk of Cloudstone
2050#Pure Cloudstone
2051#Shard of round stone
2052#Lump of round stone
2053#Pure Maruishi
2054#Shard of Meltstone
2055#Large Clearstone Shard
2056#Large Greystone Shard
2057#Large Bladestone Shard
9995#Black Eye Stone
9996#Red Eye Stone
9997#Blue Eye Stone
9998#Kick Item
9999#White Eye Stone
